queue_status	repo_id	branch	safe_folder	algorithm_items	algorithm_directories	algorithm_files	skipped_paths	status_files	complete_status_files	output_files	verification_problems	source_commit	source_tree	report_path	notes
done	humanize	general-refactor-and-review	general-refactor-and-review	71	10	61	14	30	30	30	0	1fea22e96345f1005992936983b85317a156e3d5	6e9928c93aba651d4ad4676ba86509a9840a5ef3	learn_humanize/branches/general-refactor-and-review/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	general-robustness-edge-test	general-robustness-edge-test	144	15	129	25	30	30	30	0	4a4e59ce0cc5613c54d15754a29c7d2a2e9be058	e5a1cc8e7baf55b12efeae3fb5564c88e5173747	learn_humanize/branches/general-robustness-edge-test/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	h2-dev	h2-dev	251	26	225	126	30	30	30	0	2da7defbd5e955dbc329a27f1745fa74a0bee3f7	bef2487769543ff367da2da425136b0cfefae129	learn_humanize/branches/h2-dev/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	impl-dccb-loop	impl-dccb-loop	23	5	18	6	30	30	30	0	0fabd14f224c998e6dedd7cddaf57c479524700c	fcb8815fbdcfc05b5906fcf80046321cf93c1660	learn_humanize/branches/impl-dccb-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	impl-pr-loop	impl-pr-loop	131	14	117	25	30	30	30	0	96455ba5aff935988d78439ca55427c603b1adcd	87ae2694d112d8130912971c6a6c494694ca9697	learn_humanize/branches/impl-pr-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	improve-gen-plan-command	improve-gen-plan-command	131	14	117	25	30	30	30	0	934cf543d66046b72071d121b15583d5e3d6799e	a22ad6bef2ad440595842fd080d8abf4ffc5c7b9	learn_humanize/branches/improve-gen-plan-command/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	improve-monitor-script	improve-monitor-script	71	10	61	14	30	30	30	0	5af20b79e6fec323a2d5cb9344a6a584db1c635a	90889393919f3f267d49c0d8544475806bcb1f96	learn_humanize/branches/improve-monitor-script/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	improve-pr-loop	improve-pr-loop	144	15	129	25	30	30	30	0	61f03daecb8ff9c20e535a636b90aa92a3d7c9b2	d68379d07648ba44175cc687b6a8074dedd7cf4e	learn_humanize/branches/improve-pr-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	main	main	201	25	176	35	30	30	30	0	0ec921a36b4365df503511c5567bbd3e02db0df5	02b795eabc439b19379e366f009e81b38f5b52a5	learn_humanize/branches/main/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
todo	humanize	make-working-folder-to-humanize-only	make-working-folder-to-humanize-only	65	10	55	14	0	0	0	130	823cb32d01ae021ec8a0eb3dc1f18af901d2ba65	06b73274dce37240e80fa861a80486bb5a4d0464	learn_humanize/branches/make-working-folder-to-humanize-only/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	reflection-improve	reflection-improve	203	23	180	33	0	0	0	406	13a47fb2260667a272b448e8d3c1a521f2382590	205613f9f58731a061e3e9aa4e46a09e2482de2b	learn_humanize/branches/reflection-improve/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	robust-edge-test-find-and-resolve	robust-edge-test-find-and-resolve	99	12	87	14	0	0	0	198	a3112ca4d149f56ced783e805b6dfcf029368dc4	a5790de8b3fc8edc56d0b302e556cb4f2cf234ae	learn_humanize/branches/robust-edge-test-find-and-resolve/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	skillize-rlcr-actions	skillize-rlcr-actions	89	13	76	15	0	0	0	178	0a9187b8478dd3ed9c0cf58a4615c61e188fd444	a2958058fd3ea9d4b6696ac43abf190a760266cb	learn_humanize/branches/skillize-rlcr-actions/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	templify-prompt	templify-prompt	58	10	48	13	0	0	0	116	0c107abc65600bca4e18b04265b48c91da772491	f3c9561d9e816fb24001ba1b460b3929fec0423e	learn_humanize/branches/templify-prompt/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	todo2task-careful-mode	todo2task-careful-mode	145	15	130	25	0	0	0	290	7d9dd4fbb5c376ae0a72b7caf81c50909ff14c37	52de937eb6bb6f1eeb841422e1c5fd05e319540d	learn_humanize/branches/todo2task-careful-mode/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	tunable-full-examine-round	tunable-full-examine-round	144	15	129	25	0	0	0	288	67aa7bab09f0d0e36ac403264eed6989b09aada5	963d7c2de33adb281d457398c9498e54b9c36e7b	learn_humanize/branches/tunable-full-examine-round/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	use-realpath4everything	use-realpath4everything	197	24	173	35	0	0	0	394	cf17140050c4e063f27924c2d56cc2279d81f4cd	e82a446dc9fb060a3c0edf5156d4934bee330e53	learn_humanize/branches/use-realpath4everything/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	vcs-cli-on-plan-file	vcs-cli-on-plan-file	70	10	60	13	0	0	0	140	4dd1ca2fece39d3c6d7f84965cd71bda02489397	2eceab4140baa5aa2a6130625bfe3e91590ceb99	learn_humanize/branches/vcs-cli-on-plan-file/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
done	oh-my-humanize	main	main	3619	283	3336	1423	30	30	30	0	6b3819fad50a89fffae899b240ad1ce065c51d23	35394e47731487305e72fba1af5fac0301816c20	learn_humanize/repos/oh-my-humanize/branches/main/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
